Rk,Team,Date,xG,h_a,Opp,Comp,Round,TieRslt,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Match Report
82,it Napoli,2023-12-12,1.4,,pt Braga,Champions League,Group,,W 2-0,2,0,+2,50,1,0,0,0,1.4,1.4,+0.5,+0.5,1.4,1.1,-0.4,-0.4,-0.4,0.16,9,0.11,0.17,6,66.7,22.9,1,Match Report
83,fr Lens,2023-12-12,1.4,,es Sevilla,Champions League,Group,,W 2-1,2,1,+1,35,1,1,1,0,1.4,0.6,+0.1,+0.1,0.6,0.3,+0.6,+0.4,+0.4,0.29,2,0.50,1.00,1,50.0,40.5,0,Match Report
84,de Union Berlin,2023-12-12,1.1,,es Real Madrid,Champions League,Group,,L 2-3,2,3,-1,26,2,0,0,0,1.1,1.1,-1.8,-1.0,0.8,0.7,+0.9,+0.9,+0.2,0.14,8,0.25,0.40,5,62.5,14.5,0,Match Report
85,dk FC Copenhagen,2023-12-12,1.3,,tr Galatasaray,Champions League,Group,,W 1-0,1,0,+1,37,1,0,0,0,1.3,1.3,-0.1,-0.1,1.2,1.2,-0.3,-0.3,-0.2,0.12,11,0.09,0.33,3,27.3,17.9,0,Match Report
86,tr Galatasaray,2023-12-12,1.4,@,dk FC Copenhagen,Champions League,Group,,L 0-1,0,1,-1,63,0,0,0,0,1.4,1.4,+0.1,+0.1,1.0,1.5,-1.4,-1.4,-1.0,0.07,22,0.00,0.00,4,18.2,13.6,0,Match Report
87,es Real Madrid,2023-12-12,2.9,@,de Union Berlin,Champions League,Group,,W 3-2,3,2,+1,74,3,0,1,1,2.9,2.1,+1.8,+1.0,1.9,2.4,+0.1,+0.9,+1.1,0.09,22,0.14,0.38,8,36.4,17.2,0,Match Report
88,eng Arsenal,2023-12-12,1.0,@,nl PSV Eindhoven,Champions League,Group,,D 1-1,1,1,0,58,1,0,0,0,1.0,1.0,-0.4,-0.4,0.8,1.0,0.0,0.0,+0.2,0.08,12,0.08,0.33,3,25.0,15.4,0,Match Report
89,pt Braga,2023-12-12,1.0,@,it Napoli,Champions League,Group,,L 0-2,0,2,-2,50,0,0,0,0,1.0,1.0,-0.5,-0.5,0.8,1.2,-1.0,-1.0,-0.8,0.05,19,0.00,0.00,5,26.3,18.9,1,Match Report
90,eng Manchester Utd,2023-12-12,0.3,,de Bayern Munich,Champions League,Group,,L 0-1,0,1,-1,41,0,0,0,0,0.3,0.3,-0.9,-0.9,0.2,0.3,-0.3,-0.3,-0.2,0.05,5,0.00,0.00,1,20.0,24.1,1,Match Report
91,tr Galatasaray,2023-11-29,1.5,,eng Manchester Utd,Champions League,Group,,D 3-3,3,3,0,57,3,0,0,0,1.5,1.5,-0.2,-0.2,0.8,0.8,+1.5,+1.5,+0.2,0.10,16,0.19,0.43,7,43.8,17.4,2,Match Report
